time_Ma,temperature_C,X_total,X_comp_1,X_comp_2
0.0,40.0,0.0,0.0,0.0
1.0,40.6,0.00013576844084790945,0.0003394205447254573,3.715962108787688e-10
2.0,41.2,0.00029059734973429754,0.0007264921621930625,8.080951208695588e-10
3.0,41.8,0.00046706559832532794,0.0011676620150360285,1.3205181941954285e-09
4.0,42.4,0.0006680863132142456,0.0016702129004783303,1.9217048557321317e-09
5.0,43.0,0.0008969478451904984,0.0022423656730710573,2.62660345893338e-09
6.0,43.6,0.001157359336106516,0.002893393161355205,3.4526073900519286e-09
7.0,44.2,0.0014535013101687573,0.0036337466455072633,4.419943086367588e-09
8.0,44.8,0.0017900817339699198,0.004475196006748204,5.5521177299549175e-09
9.0,45.4,0.0021723980009367193,0.005430984687688547,6.876435500179559e-09
10.0,46.0,0.0026064052984483142,0.006516000609231965,8.42459254621084e-09
11.0,46.6,0.0030987918063078764,0.007746964165726246,1.0233362296399588e-08
12.0,47.2,0.0036570611492490876,0.00914263435504615,1.2345384378134515e-08
13.0,47.8,0.004289622478358789,0.010724033980788514,1.4810072306548584e-08
14.0,48.4,0.0050058884799984585,0.01251469467301028,1.7684657243419504e-08
15.0,49.0,0.005816381497721916,0.014540922191223445,2.103538756287e-08
16.0,49.6,0.006732847792634696,0.01683208207322665,2.4938906726416348e-08
17.0,50.2,0.007768379748225419,0.01942090514481088,2.9483835109781093e-08
18.0,50.8,0.00893754553195405,0.022343811671007647,3.477258498635343e-08
19.0,51.4,0.01025652533992041,0.025641251964638154,4.0923441912012445e-08
20.0,52.0,0.01174325285162221,0.02935806001963002,4.807295033481435e-08
21.0,52.6,0.013417559884501625,0.0335438151432844,5.637864643999566e-08
22.0,53.2,0.01530132143440236,0.038253204552725226,6.602218711362877e-08
23.0,53.8,0.01741859728643455,0.043546377396690546,7.72129305543882e-08
24.0,54.4,0.019795765146273896,0.04948927757763737,9.019203158023115e-08
25.0,55.0,0.022461638737856147,0.0561539389889556,1.0523712317528264e-07
26.0,55.6,0.025447562502966925,0.06361872225591918,1.2266766542505468e-07
27.0,56.2,0.028787472387600654,0.07196846669242088,1.428510538334341e-07
28.0,56.8,0.03251790968314103,0.08129452489346568,1.662095912572864e-07
29.0,57.4,0.03667797199600598,0.0916946401473527,1.9322844150720965e-07
30.0,58.0,0.04130918216041098,0.10327261870398009,2.2446469823969892e-07
31.0,58.599999999999994,0.04645525233611282,0.11613774000370157,2.605577203234079e-07
32.0,59.2,0.052161716752799986,0.130403838520643,3.0224090464262445e-07
33.0,59.8,0.058475402760205165,0.14618798136787856,3.503550895751561e-07
34.0,60.4,0.06544370631041954,0.1636086569803377,4.058638074518602e-07
35.0,61.0,0.0731136351704012,0.1827833831200542,4.6987063250855533e-07
36.0,61.599999999999994,0.08153058165310806,0.2038256386744163,5.436389025545256e-07
37.0,62.2,0.09073678730118415,0.226841025331768,6.286141282252612e-07
38.0,62.8,0.10076946585190914,0.25192257495560727,7.264494437285933e-07
39.0,63.4,0.11165855933168145,0.2791451397774567,8.390344979545828e-07
40.0,64.0,0.123424116923917,0.30855883951743956,9.685282352813923e-07
41.0,64.6,0.13607330919625135,0.34018159689652033,1.1173960720185511e-06
42.0,65.2,0.1495971233122082,0.37399087560246363,1.288452037905121e-06
43.0,65.8,0.16396682976052962,0.4099148470415392,1.4849065232235517e-06
44.0,66.4,0.1791303690776782,0.4478233570636678,1.7104203517901782e-06
45.0,67.0,0.19500887793734137,0.4875192410943694,1.9691659893288918e-06
46.0,67.6,0.21149365563437367,0.5287307402407392,2.2658967966233493e-06
47.0,68.2,0.22844395896806555,0.571105988382141,2.6060253485942933e-06
48.0,68.8,0.24568609591979246,0.6142107462315329,2.9957119654142627e-06
49.0,69.4,0.26301435076302515,0.6575307139604507,3.4419647414525343e-06
50.0,70.0,0.28019429345211155,0.700479804501508,3.952752513901358e-06
51.0,70.6,0.2969689765599786,0.7424156357013657,4.537132387213241e-06
52.0,71.2,0.3130683725656012,0.7826631233235669,5.205393624018993e-06
53.0,71.8,0.3282221240459613,0.8205463562850077,5.969219930257144e-06
54.0,72.4,0.3421752521866387,0.8554278676579901,6.8418724043268945e-06
55.0,73.0,0.3547059032803758,0.8867530006074046,7.838395689944466e-06
56.0,73.6,0.36564355847704433,0.9140954324173511,8.975850173092565e-06
57.0,74.19999999999999,0.37488549519516007,0.9371983276278025,1.0273573398382682e-05
58.0,74.8,0.3824088369701752,0.9560044622140584,1.1753474253029013e-05
59.0,75.4,0.3882754758888139,0.9706685291762123,1.3440363881577522e-05
60.0,76.0,0.39262771072246944,0.9815462333145394,1.5362327756085872e-05
61.0,76.6,0.39567374121252624,0.9891580263155562,1.7551143839615964e-05
62.0,77.19999999999999,0.39766412538043167,0.9941302493225523,2.0042752351198487e-05
63.0,77.8,0.39886258009306397,0.9971221335577489,2.287778327393445e-05
64.0,78.4,0.39951641627000933,0.9987518874523463,2.6102148451299585e-05
65.0,79.0,0.39983261989062874,0.9995368981677257,2.9767705897370807e-05
66.0,79.6,0.39996447124803697,0.9998602786128733,3.3933004812682684e-05
67.0,80.19999999999999,0.4000106232223438,0.999968561874723,3.8664120757631496e-05
68.0,80.8,0.4000246585223471,0.9999955929186184,4.403559149951753e-05
69.0,81.4,0.4000299970643576,0.9999997954630518,5.013146522814647e-05
70.0,82.0,0.4000342278844841,1.0,5.704647414011269e-05
71.0,82.6,0.4000389324087018,1.0,6.488734783628091e-05
72.0,83.19999999999999,0.4000442645695448,1.0,7.377428257459728e-05
